features_sorted,feature_names_EWRE
3447,moderation
5832,unrealistic
2822,intake
5492,tempt
693,bulimic
5762,uncomfortably
3234,majority
1447,destroy
244,apex
1631,downtime
50,achievement
1080,conceivably
1829,equally
628,bra
1507,dirt
485,beg
311,ascend
1502,diploma
1009,colonise
499,believe
1048,compassion
2633,huston
944,claustrophobic
4992,situate
1129,consistent
2707,imprint
2522,hesitant
188,america
3207,lucy
5171,spray
1249,cream
1449,detach
62,active
5417,swiftly
2840,interest
247,apologise
720,butter
3581,new
637,bread
712,burst
4907,shield
4032,pm
4654,rough
4600,rice
1657,drink
1651,dress
4947,sibling
871,cheek
3713,onward
1694,ease
5082,software
3493,mouth
4719,sanitizer
5255,stop
3660,objective
1591,diverse
1484,difference
23,acc
569,bloodshot
3979,pin
2828,intelligent
5221,stayed
5755,unchangeable
1839,erupt
98,adversity
1733,either
2989,king
5574,tighter
1207,corridor
3778,overseas
1725,effort
3715,open
1546,dish
2870,intuition
22,academically
4254,purely
58,acquire
5430,system
531,binge
5622,top
5197,stance
3931,personnel
150,algorithm
5614,tone
5998,warning
4723,sat
1092,conduct
2195,freeze
5961,volunteer
2649,ideation
3432,misunderstood
5167,sporadically
4112,precise
4118,predominantly
3034,lash
3172,logistics
3084,legitimately
2869,intrusive
1406,delusion
4236,psychosis
5677,traumatised
1919,existentially
5963,vomit
5338,suffocating
2071,firing
2762,inevitably
2862,intolerable
2715,inappropriate
1125,considerably
1686,earful
1270,crop
578,blurred
2844,interfere
5391,survival
3731,ordeal
2669,imbue
5800,unicorn
2790,inner
3222,magical
2013,favour
4434,regress
4435,regret
5183,stab
2415,guest
3373,messiah
2275,gaslight
5742,ugh
2207,fridge
1469,devote
3320,meaningful
2277,gate
2029,fell
4005,planet
3767,overcome
3489,motivated
2658,ignorant
1724,efficiently
3823,pantry
1050,compatible
5570,tie
4819,seek
1687,earlier
906,chore
4075,possible
5870,useless
5817,unless
4511,reply
3964,pick
3078,leftover
5225,steal
1665,drove
2533,hinder
5118,south
942,classroom
5231,step
4963,silly
868,check
3151,livid
5261,straight
859,charity
4095,power
3012,lack
3563,neighbourhood
6037,weep
1352,deaths
1769,emotionless
4252,purchase
219,annual
2969,kept
2653,idiot
2562,hometown
246,apologetic
5934,violence
2388,greet
5606,tolerance
5333,suffering
3511,mundane
701,bun
2443,handful
4059,poorly
618,bound
291,arm
1395,degree
6,abnormal
2018,feasibly
4220,protectiveness
2657,ignorance
2815,institute
1445,dessert
5881,valentine
94,adulthood
1532,discouragement
72,adapted
544,bitterness
827,celebrity
5205,stare
3380,midday
5425,sympathy
4412,reference
3490,motivation
4713,sandwich
6000,wary
5390,survey
5593,tiring
933,claim
2558,homelessness
288,arguments
2409,grumpy
5665,transition
1273,crowd
5669,transmit
5235,stew
2691,implement
6123,worryingly
266,appreciative
4493,render
2229,frustratingly
4921,shopper
2889,ironic
2632,husband
5928,vigilant
962,clinically
2278,gatekeeper
2782,inherently
1634,dozen
57,acquaintances
3185,loophole
4904,shell
3861,passport
4168,probable
180,amazing
261,application
3921,permit
4197,prominent
2325,glory
2107,float
740,calender
3922,perpetual
911,christening
3624,notably
1277,cruel
3144,literal
2306,ghost
1301,curry
543,bitter
1164,contradiction
1066,compliment
2987,kindly
2882,inward
4165,privileged
3170,logically
1787,encouragement
106,affected
1887,example
4016,playground
5873,usually
5198,stand
2238,full
1085,concern
5238,sticky
2606,housing
2201,fresh
459,battery
2088,flannel
802,casual
522,bic
4018,plead
4281,quicker
4604,rid
366,australia
1573,distancing
5750,unbearable
5175,spring
6154,yoghurt
5188,stage
2130,fog
5890,variant
2754,indonesia
5959,volcano
917,chunk
3125,lightly
3747,otherwise
4920,shop
3989,pit
4260,purse
2379,gravely
2125,fluid
5860,upset
164,alongside
3773,overlaid
3784,oversubscribed
4306,rally
3796,oxbridge
3473,moor
662,brim
2863,intrinsically
883,chicken
3557,negatively
5252,stone
4320,rapid
2187,frantic
1995,fare
3768,overdraft
920,churn
4000,plain
2626,hungry
2472,haunt
1128,consistency
3132,limitation
4695,safeguarding
1575,distinction
5848,unwind
2500,heath
5165,spontaneous
4397,recur
4694,safeguard
4074,possibility
4396,recuperate
2686,impatient
309,articulate
92,adolescent
1811,enrichment
818,causing
5286,string
590,bonding
4302,rainbows
5617,tonne
577,blur
4269,quantity
4537,reside
5199,standard
5919,victimise
5792,unforgiving
1477,dictate
743,calm
3869,path
2498,heat
5517,texted
3528,nan
3237,maker
5131,sparkly
5937,virgin
2095,flatmates
5304,stupidly
5042,smelly
4189,profit
1676,dumb
1883,exaggeration
2981,kilo
1670,drunken
3584,newly
1139,consultant
1053,compensation
2801,insist
3836,parental
4402,redefine
2491,hearing
2748,indignant
2704,impress
2693,implies
4071,positively
4808,secret
4897,shatter
1355,debilitate
5247,stipend
2921,jeopardise
2728,incompetent
2368,granola
5450,tap
3751,outdoor
834,century
624,bowl
4969,simple
4268,quality
2254,furniture
1008,college
5219,status
308,article
1803,enjoy
4481,remain
3932,perspective
5408,sweating
3813,palpable
901,choke
3540,nauseous
2004,fatal
4887,shaking
4297,radio
2269,garage
5915,vice
1560,disproportionately
1540,diseased
1126,consideration
5499,tends
5909,versa
1043,comoros
2434,halfway
1645,drawback
4687,sacrifice
2092,flashback
3803,packed
702,bunch
4221,protein
690,build
5738,type
1124,considerable
